DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,23-278,MIA,HOME,DET,W (+1),1,34:30,7,24,.292,2,7,.286,0,0,,0,2,2,3,3,0,2,1,16,5.3,+6,Tyler Herro
2023-10-27,23-280,MIA,AWAY,BOS,L (-8),1,40:18,10,20,.500,5,12,.417,3,3,1.000,1,5,6,6,1,0,3,2,28,21.6,-1,Tyler Herro
2023-10-28,23-281,MIA,AWAY,MIN,L (-16),1,39:39,8,23,.348,4,10,.400,2,2,1.000,0,5,5,4,0,0,0,1,22,13.0,-16,Tyler Herro
2023-10-30,23-283,MIA,AWAY,MIL,L (-8),1,42:28,12,21,.571,2,5,.400,9,10,.900,1,7,8,3,1,0,3,1,35,27.2,-3,Tyler Herro
2023-11-01,23-285,MIA,HOME,BRK,L (-4),1,35:43,12,23,.522,6,10,.600,0,1,.000,0,3,3,5,0,0,3,2,30,18.9,-1,Tyler Herro
2023-11-03,23-287,MIA,HOME,WAS,W (+7),1,36:39,9,17,.529,4,7,.571,2,2,1.000,0,10,10,9,2,0,3,3,24,22.8,+7,Tyler Herro
2023-11-06,23-290,MIA,HOME,LAL,W (+1),1,34:26,8,20,.400,2,10,.200,4,4,1.000,1,4,5,5,3,0,6,1,22,13.2,-9,Tyler Herro
2023-11-08,23-292,MIA,AWAY,MEM,W (+6),1,8:10,2,4,.500,0,0,,2,3,.667,0,1,1,2,1,0,0,2,6,5.5,+6,Tyler Herro
2023-11-11,23-295,MIA,AWAY,ATL,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Tyler Herro
2023-11-12,23-296,MIA,AWAY,SAS,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Tyler Herro
2023-11-14,23-298,MIA,AWAY,CHO,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Tyler Herro
2023-11-16,23-300,MIA,HOME,BRK,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Tyler Herro
2023-11-18,23-302,MIA,AWAY,CHI,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Tyler Herro
