DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2019-10-24,23-243,GSW,HOME,LAC,L (-19),1,33:15,6,16,.375,4,8,.500,4,4,1.000,0,0,0,8,0,0,1,2,20,15.0,-35,D'Angelo Russell
2019-10-27,23-246,GSW,AWAY,OKC,L (-28),1,22:23,3,10,.300,0,1,.000,0,0,,0,1,1,2,0,0,2,2,6,-0.9,-23,D'Angelo Russell
2019-10-28,23-247,GSW,AWAY,NOP,W (+11),1,33:39,9,21,.429,3,11,.273,3,6,.500,1,6,7,8,0,0,3,1,24,16.4,+12,D'Angelo Russell
2019-10-30,23-249,GSW,HOME,PHO,L (-11),1,29:48,5,12,.417,1,4,.250,4,8,.500,1,6,7,6,0,0,3,1,15,10.3,-28,D'Angelo Russell
2019-11-01,23-251,GSW,HOME,SAS,L (-17),1,33:02,9,24,.375,3,11,.273,9,10,.900,0,3,3,8,0,1,1,1,30,22.2,-5,D'Angelo Russell
2019-11-02,23-252,GSW,HOME,CHO,L (-6),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,D'Angelo Russell
2019-11-04,23-254,GSW,HOME,POR,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,D'Angelo Russell
2019-11-06,23-256,GSW,AWAY,HOU,L (-17),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,D'Angelo Russell
2019-11-08,23-258,GSW,AWAY,MIN,L (-6),1,40:05,19,37,.514,7,17,.412,7,8,.875,0,9,9,5,3,2,3,0,52,40.9,-2,D'Angelo Russell
2019-11-09,23-259,GSW,AWAY,OKC,L (-6),1,34:11,10,19,.526,4,8,.500,6,6,1.000,0,3,3,7,2,0,4,2,30,23.7,+11,D'Angelo Russell
