DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-24,21-018,GSW,HOME,PHO,L (-4),0,20:08,4,8,.500,0,0,,4,6,.667,3,3,6,1,2,1,2,5,12,9.6,+4,Jonathan Kuminga
2023-10-27,21-021,GSW,AWAY,SAC,W (+8),0,25:59,5,11,.455,1,3,.333,1,2,.500,1,4,5,0,0,0,2,3,12,4.6,+9,Jonathan Kuminga
2023-10-29,21-023,GSW,AWAY,HOU,W (+11),0,18:48,3,8,.375,1,3,.333,2,3,.667,0,2,2,1,1,0,3,4,9,1.9,+4,Jonathan Kuminga
2023-10-30,21-024,GSW,AWAY,NOP,W (+28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jonathan Kuminga
2023-11-01,21-026,GSW,HOME,SAC,W (+1),0,17:07,4,9,.444,1,2,.500,3,3,1.000,0,1,1,1,1,0,0,2,12,8.5,+3,Jonathan Kuminga
2023-11-03,21-028,GSW,AWAY,OKC,W (+2),0,21:48,9,15,.600,0,2,.000,1,2,.500,1,1,2,1,0,0,3,2,19,9.6,+3,Jonathan Kuminga
2023-11-05,21-030,GSW,AWAY,CLE,L (-11),0,19:33,5,14,.357,1,4,.250,4,5,.800,1,2,3,0,0,2,1,2,15,7.7,-9,Jonathan Kuminga
2023-11-06,21-031,GSW,AWAY,DET,W (+11),0,18:41,2,8,.250,0,3,.000,6,8,.750,0,1,1,0,1,1,1,3,10,4.2,0,Jonathan Kuminga
2023-11-08,21-033,GSW,AWAY,DEN,L (-3),0,18:49,4,12,.333,0,1,.000,2,2,1.000,2,2,4,2,0,0,0,1,10,6.2,+9,Jonathan Kuminga
2023-11-11,21-036,GSW,HOME,CLE,L (-8),0,20:39,2,7,.286,0,1,.000,8,11,.727,0,3,3,0,0,0,0,4,12,6.0,-1,Jonathan Kuminga
2023-11-12,21-037,GSW,HOME,MIN,L (-6),0,23:35,2,11,.182,0,3,.000,6,7,.857,2,1,3,0,2,0,0,2,10,5.6,+5,Jonathan Kuminga
2023-11-14,21-039,GSW,HOME,MIN,L (-3),0,15:58,2,3,.667,0,1,.000,1,2,.500,1,1,2,1,0,0,1,2,5,3.2,-1,Jonathan Kuminga
2023-11-16,21-041,GSW,HOME,OKC,L (-19),1,26:40,8,13,.615,1,4,.250,4,5,.800,0,6,6,2,0,1,4,0,21,14.6,-11,Jonathan Kuminga
2023-11-18,21-043,GSW,HOME,OKC,L (-7),0,20:21,6,10,.600,0,2,.000,1,2,.500,2,3,5,2,1,1,3,2,13,9.6,-18,Jonathan Kuminga
2023-11-20,21-045,GSW,HOME,HOU,W (+5),0,18:06,3,7,.429,1,3,.333,0,2,.000,0,3,3,1,0,0,1,3,7,1.9,+8,Jonathan Kuminga
2023-11-22,21-047,GSW,AWAY,PHO,L (-8),0,20:51,3,7,.429,0,1,.000,1,2,.500,0,1,1,2,1,0,0,5,7,3.6,-1,Jonathan Kuminga
2023-11-24,21-049,GSW,HOME,SAS,W (+6),0,20:14,5,7,.714,1,2,.500,1,2,.500,0,1,1,2,0,0,1,0,12,9.4,-1,Jonathan Kuminga
2023-11-28,21-053,GSW,AWAY,SAC,L (-1),0,9:34,0,3,.000,0,1,.000,0,0,,0,1,1,0,0,0,2,3,0,-5.0,+4,Jonathan Kuminga
2023-11-30,21-055,GSW,HOME,LAC,W (+6),0,23:19,6,8,.750,3,5,.600,2,4,.500,1,5,6,3,1,1,1,0,17,18.0,+13,Jonathan Kuminga
2023-12-02,21-057,GSW,AWAY,LAC,L (-1),0,15:41,2,6,.333,1,3,.333,1,2,.500,0,2,2,0,0,0,1,0,6,1.8,+5,Jonathan Kuminga
2023-12-06,21-061,GSW,HOME,POR,W (+4),0,16:43,6,6,1.000,0,0,,1,2,.500,0,1,1,1,2,0,0,2,13,13.0,+13,Jonathan Kuminga
2023-12-08,21-063,GSW,AWAY,OKC,L (-2),0,28:54,10,21,.476,3,6,.500,1,1,1.000,6,6,12,0,0,0,3,6,24,13.9,-15,Jonathan Kuminga
2023-12-12,21-067,GSW,AWAY,PHO,L (-3),0,28:30,6,10,.600,1,3,.333,3,7,.429,2,4,6,0,1,0,1,4,16,10.8,+13,Jonathan Kuminga
2023-12-14,21-069,GSW,AWAY,LAC,L (-8),1,24:42,5,10,.500,2,3,.667,3,3,1.000,0,5,5,1,1,0,1,4,15,10.6,+5,Jonathan Kuminga
2023-12-16,21-071,GSW,HOME,BRK,W (+4),1,20:52,3,6,.500,0,0,,4,4,1.000,2,2,4,2,0,1,1,1,10,9.7,+4,Jonathan Kuminga
2023-12-17,21-072,GSW,AWAY,POR,W (+4),1,18:46,5,7,.714,2,3,.667,0,4,.000,2,2,4,0,1,0,1,3,12,8.3,+4,Jonathan Kuminga
2023-12-19,21-074,GSW,HOME,BOS,W (+6),1,33:56,8,13,.615,1,4,.250,0,2,.000,4,3,7,2,2,0,1,0,17,16.4,+3,Jonathan Kuminga
2023-12-22,21-077,GSW,HOME,WAS,W (+11),1,27:11,9,11,.818,1,2,.500,3,3,1.000,2,2,4,3,1,0,1,2,22,21.2,+9,Jonathan Kuminga
2023-12-23,21-078,GSW,HOME,POR,W (+20),1,29:45,3,7,.429,0,2,.000,5,5,1.000,1,5,6,5,0,0,0,0,11,13.0,+18,Jonathan Kuminga
2023-12-25,21-080,GSW,AWAY,DEN,L (-6),1,23:02,4,8,.500,0,1,.000,5,8,.625,0,5,5,2,0,0,1,1,13,9.3,-24,Jonathan Kuminga
2023-12-28,21-083,GSW,HOME,MIA,L (-12),1,23:34,5,11,.455,0,3,.000,0,0,,1,4,5,1,0,0,6,0,10,0.9,-26,Jonathan Kuminga
2023-12-30,21-085,GSW,HOME,DAL,L (-10),1,25:14,6,12,.500,1,5,.200,3,4,.750,5,4,9,3,1,0,1,3,16,15.2,-9,Jonathan Kuminga
2024-01-02,21-088,GSW,HOME,ORL,W (+6),1,34:02,7,14,.500,1,5,.200,4,5,.800,2,4,6,4,0,2,1,2,19,16.6,+10,Jonathan Kuminga
2024-01-04,21-090,GSW,HOME,DEN,L (-3),1,18:57,5,7,.714,0,1,.000,6,7,.857,1,3,4,4,0,0,1,1,16,15.7,+6,Jonathan Kuminga
2024-01-05,21-091,GSW,HOME,DET,W (+4),1,35:38,4,8,.500,0,1,.000,3,3,1.000,0,6,6,1,0,0,4,2,11,4.7,+16,Jonathan Kuminga
2024-01-07,21-093,GSW,HOME,TOR,L (-15),1,24:54,5,13,.385,1,5,.200,2,2,1.000,1,3,4,4,1,1,1,0,13,11.0,-5,Jonathan Kuminga
