DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2019-10-23,26-074,DET,AWAY,IND,W (+9),1,40:48,12,18,.667,0,1,.000,8,10,.800,7,16,23,2,3,4,2,4,32,36.7,+4,Andre Drummond
2019-10-24,26-075,DET,HOME,ATL,L (-17),1,36:45,8,12,.667,0,0,,5,6,.833,1,11,12,2,4,1,4,4,21,19.9,-15,Andre Drummond
2019-10-26,26-077,DET,HOME,PHI,L (-6),1,24:38,5,10,.500,0,0,,3,10,.300,3,9,12,1,0,2,2,6,13,7.7,-1,Andre Drummond
2019-10-28,26-079,DET,HOME,IND,W (+2),1,38:18,8,15,.533,0,1,.000,2,3,.667,4,14,18,1,0,2,6,3,18,12.2,+3,Andre Drummond
2019-10-30,26-081,DET,AWAY,TOR,L (-12),1,35:20,10,17,.588,0,0,,1,2,.500,8,14,22,3,0,1,5,4,21,18.7,-22,Andre Drummond
2019-11-01,26-083,DET,AWAY,CHI,L (-6),1,35:06,11,17,.647,0,2,.000,3,5,.600,6,18,24,2,2,3,5,4,25,25.2,-8,Andre Drummond
2019-11-02,26-084,DET,HOME,BRK,W (+4),1,38:51,10,16,.625,0,1,.000,5,6,.833,3,17,20,6,3,5,4,4,25,29.7,+8,Andre Drummond
2019-11-04,26-086,DET,AWAY,WAS,L (-16),1,38:49,6,20,.300,0,1,.000,3,3,1.000,8,16,24,4,2,2,4,5,15,14.0,-5,Andre Drummond
2019-11-06,26-088,DET,HOME,NYK,W (+20),1,34:54,12,16,.750,0,0,,3,4,.750,4,8,12,7,1,0,4,1,27,26.9,+24,Andre Drummond
2019-11-08,26-090,DET,AWAY,IND,L (-6),1,33:36,6,14,.429,0,2,.000,3,4,.750,1,12,13,8,0,1,4,5,15,11.8,+9,Andre Drummond
2019-11-11,26-093,DET,HOME,MIN,L (-6),1,29:00,4,12,.333,0,0,,3,3,1.000,8,4,12,1,4,3,3,5,11,12.8,+8,Andre Drummond
2019-11-12,26-094,DET,AWAY,MIA,L (-9),1,27:39,6,9,.667,0,0,,4,6,.667,4,5,9,0,2,2,5,6,16,11.6,-9,Andre Drummond
2019-11-15,26-097,DET,AWAY,CHO,L (-3),1,38:09,8,16,.500,0,0,,0,0,,3,17,20,2,0,0,4,3,16,11.4,+2,Andre Drummond
2019-11-20,26-102,DET,AWAY,CHI,L (-20),1,33:31,3,10,.300,0,1,.000,0,0,,2,12,14,4,2,3,3,6,6,6.7,-7,Andre Drummond
2019-11-22,26-104,DET,HOME,ATL,W (+25),1,27:33,10,16,.625,0,1,.000,3,4,.750,8,7,15,2,2,1,4,4,23,21.6,+11,Andre Drummond
2019-11-23,26-105,DET,AWAY,MIL,L (-14),1,36:47,5,10,.500,0,0,,2,4,.500,3,14,17,4,2,0,5,4,12,10.7,-18,Andre Drummond
2019-11-25,26-107,DET,HOME,ORL,W (+15),1,30:19,3,6,.500,0,0,,1,2,.500,3,15,18,1,0,1,3,3,7,7.4,+11,Andre Drummond
2019-11-27,26-109,DET,AWAY,CHO,L (-1),1,37:56,6,11,.545,0,0,,2,5,.400,3,18,21,7,1,0,4,5,14,14.9,-5,Andre Drummond
2019-11-29,26-111,DET,HOME,CHO,L (-3),1,37:38,7,12,.583,0,0,,1,4,.250,8,11,19,3,1,2,4,4,15,16.0,-3,Andre Drummond
2019-12-01,26-113,DET,HOME,SAS,W (+34),1,25:59,4,8,.500,0,0,,1,4,.250,6,10,16,2,1,3,4,0,9,11.5,+2,Andre Drummond
2019-12-03,26-115,DET,AWAY,CLE,W (+33),1,30:52,7,15,.467,0,0,,3,4,.750,4,10,14,4,5,4,3,0,17,22.3,+19,Andre Drummond
2019-12-04,26-116,DET,HOME,MIL,L (-24),1,32:54,11,17,.647,0,1,.000,1,4,.250,5,9,14,5,2,3,3,3,23,23.9,-7,Andre Drummond
2019-12-06,26-118,DET,HOME,IND,W (+7),1,40:51,9,17,.529,0,1,.000,7,9,.778,7,15,22,1,3,2,1,5,25,27.4,+17,Andre Drummond
2019-12-09,26-121,DET,AWAY,NOP,W (+2),1,24:32,4,11,.364,0,0,,5,6,.833,4,6,10,0,0,0,1,4,13,8.5,+2,Andre Drummond
2019-12-12,26-124,DET,HOME,DAL,L (-11),1,34:25,10,14,.714,0,1,.000,3,6,.500,2,13,15,1,3,1,2,4,23,22.1,-15,Andre Drummond
2019-12-14,26-126,DET,AWAY,HOU,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Andre Drummond
2019-12-16,26-128,DET,HOME,WAS,L (-14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Andre Drummond
