DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,27-048,CLE,AWAY,BRK,W (+1),1,35:44,11,21,.524,4,10,.400,1,1,1.000,2,3,5,6,4,1,0,1,27,27.5,+7,Donovan Mitchell
2023-10-27,27-050,CLE,HOME,OKC,L (-3),1,42:09,15,27,.556,4,11,.364,9,11,.818,1,7,8,5,3,2,5,1,43,34.6,+7,Donovan Mitchell
2023-10-28,27-051,CLE,HOME,IND,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Donovan Mitchell
2023-10-31,27-054,CLE,HOME,NYK,L (-18),1,28:47,11,20,.550,0,3,.000,4,4,1.000,2,1,3,3,3,0,2,2,26,20.4,-11,Donovan Mitchell
2023-11-01,27-055,CLE,AWAY,NYK,W (+6),1,36:44,9,22,.409,6,15,.400,6,6,1.000,1,5,6,4,1,1,5,5,30,17.9,+3,Donovan Mitchell
2023-11-03,27-057,CLE,AWAY,IND,L (-5),1,36:39,13,21,.619,4,7,.571,8,10,.800,1,4,5,9,1,0,3,1,38,33.5,0,Donovan Mitchell
2023-11-05,27-059,CLE,HOME,GSW,W (+11),1,34:02,11,19,.579,5,11,.455,4,4,1.000,1,1,2,7,2,0,4,3,31,24.8,+6,Donovan Mitchell
2023-11-08,27-062,CLE,AWAY,OKC,L (-8),1,37:15,8,23,.348,1,9,.111,3,3,1.000,0,5,5,5,2,0,0,2,20,13.3,+2,Donovan Mitchell
2023-11-11,27-065,CLE,AWAY,GSW,W (+8),1,36:06,7,22,.318,2,6,.333,5,6,.833,1,6,7,5,2,1,2,4,21,13.1,+15,Donovan Mitchell
2023-11-13,27-067,CLE,AWAY,SAC,L (-12),1,38:09,7,21,.333,4,9,.444,4,4,1.000,0,2,2,5,1,1,2,0,22,13.9,-1,Donovan Mitchell
2023-11-15,27-069,CLE,AWAY,POR,W (+14),1,36:20,13,20,.650,5,8,.625,3,4,.750,0,6,6,4,1,0,3,4,34,25.8,+22,Donovan Mitchell
2023-11-17,27-071,CLE,HOME,DET,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Donovan Mitchell
2023-11-19,27-073,CLE,HOME,DEN,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Donovan Mitchell
2023-11-21,27-075,CLE,AWAY,PHI,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Donovan Mitchell
2023-11-22,27-076,CLE,HOME,MIA,L (-33),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Donovan Mitchell
2023-11-25,27-079,CLE,HOME,LAL,L (-6),1,34:58,4,18,.222,2,6,.333,12,13,.923,0,5,5,6,1,0,1,0,22,16.3,-2,Donovan Mitchell
2023-11-26,27-080,CLE,HOME,TOR,W (+3),1,33:46,4,17,.235,0,5,.000,2,3,.667,1,4,5,4,1,0,0,0,10,5.0,+1,Donovan Mitchell
2023-11-28,27-082,CLE,HOME,ATL,W (+23),1,35:02,14,25,.560,3,11,.273,9,9,1.000,2,9,11,5,3,1,6,3,40,32.2,+29,Donovan Mitchell
2023-11-30,27-084,CLE,HOME,POR,L (-8),1,33:30,7,20,.350,1,9,.111,8,8,1.000,3,4,7,6,4,0,1,1,23,21.9,+1,Donovan Mitchell
2023-12-02,27-086,CLE,AWAY,DET,W (+9),1,32:54,7,19,.368,2,5,.400,4,5,.800,1,2,3,4,2,0,4,2,20,10.4,-13,Donovan Mitchell
2023-12-06,27-090,CLE,HOME,ORL,W (+10),1,37:02,12,24,.500,5,10,.500,6,9,.667,2,5,7,6,1,0,4,3,35,24.7,0,Donovan Mitchell
2023-12-08,27-092,CLE,AWAY,MIA,W (+12),1,36:05,9,17,.529,3,8,.375,6,8,.750,1,12,13,6,1,0,5,1,27,22.0,+15,Donovan Mitchell
2023-12-11,27-095,CLE,AWAY,ORL,L (-10),1,36:53,6,18,.333,2,10,.200,8,9,.889,1,2,3,3,3,1,2,3,22,15.3,-11,Donovan Mitchell
2023-12-12,27-096,CLE,AWAY,BOS,L (-7),1,35:08,11,22,.500,5,13,.385,2,2,1.000,0,6,6,3,1,0,3,3,29,18.7,+6,Donovan Mitchell
2023-12-14,27-098,CLE,AWAY,BOS,L (-9),1,39:49,12,24,.500,2,8,.250,5,5,1.000,1,7,8,6,1,0,3,2,31,23.2,-11,Donovan Mitchell
2023-12-16,27-100,CLE,HOME,ATL,W (+8),1,40:52,7,21,.333,4,9,.444,4,4,1.000,3,2,5,13,2,0,1,4,22,21.3,+7,Donovan Mitchell
2023-12-18,27-102,CLE,HOME,HOU,W (+5),1,45:25,14,27,.519,4,11,.364,5,5,1.000,0,1,1,6,0,2,2,5,37,25.6,+4,Donovan Mitchell
2023-12-20,27-104,CLE,HOME,UTA,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Donovan Mitchell
2023-12-21,27-105,CLE,HOME,NOP,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Donovan Mitchell
2023-12-23,27-107,CLE,AWAY,CHI,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Donovan Mitchell
2023-12-27,27-111,CLE,AWAY,DAL,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Donovan Mitchell
2023-12-29,27-113,CLE,HOME,MIL,L (-8),1,36:02,14,23,.609,2,10,.200,4,4,1.000,1,5,6,9,2,1,2,3,34,31.5,+3,Donovan Mitchell
2024-01-01,27-116,CLE,AWAY,TOR,L (-3),1,37:59,8,21,.381,4,9,.444,6,6,1.000,1,6,7,7,4,0,3,4,26,21.3,+7,Donovan Mitchell
2024-01-03,27-118,CLE,HOME,WAS,W (+39),1,24:15,6,16,.375,4,9,.444,6,6,1.000,1,2,3,4,2,2,2,0,22,18.7,+18,Donovan Mitchell
2024-01-05,27-120,CLE,HOME,WAS,W (+24),1,25:31,8,15,.533,5,8,.625,5,8,.625,1,1,2,4,1,0,3,2,26,18.5,+22,Donovan Mitchell
2024-01-07,27-122,CLE,HOME,SAS,W (+2),1,36:52,7,18,.389,1,10,.100,2,4,.500,0,2,2,9,1,0,4,1,17,9.9,-6,Donovan Mitchell
2024-01-11,27-126,CLE,HOME,BRK,W (+9),1,40:37,15,30,.500,4,12,.333,11,13,.846,2,10,12,6,4,0,7,1,45,34.4,+11,Donovan Mitchell
2024-01-15,27-130,CLE,HOME,CHI,W (+18),1,36:30,11,21,.524,4,10,.400,8,8,1.000,2,1,3,7,2,0,2,0,34,30.3,+19,Donovan Mitchell
2024-01-17,27-132,CLE,HOME,MIL,W (+40),1,25:53,12,19,.632,4,8,.500,3,4,.750,1,4,5,7,3,0,1,1,31,30.5,+37,Donovan Mitchell
2024-01-20,27-135,CLE,AWAY,ATL,W (+21),1,35:43,6,17,.353,0,6,.000,6,6,1.000,0,6,6,8,0,1,1,3,18,14.4,+17,Donovan Mitchell
2024-01-22,27-137,CLE,AWAY,ORL,W (+27),1,30:01,9,19,.474,3,8,.375,4,4,1.000,0,3,3,13,4,0,3,3,25,25.1,+34,Donovan Mitchell
2024-01-24,27-139,CLE,AWAY,MIL,L (-10),1,39:19,10,24,.417,2,11,.182,1,4,.250,0,7,7,8,1,0,6,5,23,9.7,-11,Donovan Mitchell
2024-01-26,27-141,CLE,AWAY,MIL,W (+12),1,36:32,12,27,.444,6,12,.500,2,4,.500,1,7,8,6,1,1,5,2,32,20.0,+14,Donovan Mitchell
2024-01-29,27-144,CLE,HOME,LAC,W (+10),1,38:44,11,21,.524,2,10,.200,4,6,.667,1,3,4,12,2,1,2,3,28,26.4,+11,Donovan Mitchell
2024-01-31,27-146,CLE,HOME,DET,W (+7),1,35:21,14,25,.560,6,13,.462,11,12,.917,2,4,6,8,2,1,2,2,45,40.8,+22,Donovan Mitchell
2024-02-01,27-147,CLE,AWAY,MEM,W (+7),1,33:23,10,19,.526,3,9,.333,2,4,.500,0,4,4,7,0,0,4,3,25,15.8,+16,Donovan Mitchell
2024-02-03,27-149,CLE,AWAY,SAS,W (+16),1,35:28,12,20,.600,4,9,.444,3,3,1.000,3,5,8,7,2,2,2,2,31,30.9,+22,Donovan Mitchell
2024-02-05,27-151,CLE,HOME,SAC,W (+26),1,32:53,11,20,.550,5,11,.455,2,2,1.000,0,2,2,5,2,0,0,1,29,25.1,+28,Donovan Mitchell
2024-02-07,27-153,CLE,AWAY,WAS,W (+8),1,37:34,14,25,.560,5,10,.500,7,7,1.000,0,8,8,5,1,0,5,1,40,29.6,0,Donovan Mitchell
2024-02-08,27-154,CLE,AWAY,BRK,W (+23),1,30:05,10,18,.556,4,10,.400,3,3,1.000,0,5,5,4,3,3,4,1,27,23.4,+17,Donovan Mitchell
