DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2021-10-21,22-235,DAL,AWAY,ATL,L (-26),1,35:24,6,17,.353,2,7,.286,4,4,1.000,0,11,11,7,1,0,5,1,18,12.3,-24,Luka Doncic
2021-10-23,22-237,DAL,AWAY,TOR,W (+8),1,38:53,11,24,.458,2,10,.200,3,5,.600,0,9,9,12,0,1,5,3,27,19.4,+1,Luka Doncic
2021-10-26,22-240,DAL,HOME,HOU,W (+10),1,34:16,10,25,.400,1,6,.167,5,5,1.000,2,12,14,7,2,1,4,3,26,19.9,+15,Luka Doncic
2021-10-28,22-242,DAL,HOME,SAS,W (+5),1,34:20,11,19,.579,3,8,.375,0,3,.000,0,3,3,5,0,1,7,3,25,11.8,-19,Luka Doncic
2021-10-29,22-243,DAL,AWAY,DEN,L (-31),1,26:25,5,18,.278,1,4,.250,5,5,1.000,0,6,6,4,2,0,2,1,16,9.6,-32,Luka Doncic
2021-10-31,22-245,DAL,HOME,SAC,W (+6),1,35:12,10,21,.476,1,7,.143,2,6,.333,0,8,8,10,1,1,3,3,23,17.6,+5,Luka Doncic
2021-11-02,22-247,DAL,HOME,MIA,L (-15),1,35:33,10,24,.417,3,9,.333,10,12,.833,2,1,3,5,0,0,3,2,33,20.8,-13,Luka Doncic
2021-11-03,22-248,DAL,AWAY,SAS,W (+1),1,36:11,10,25,.400,3,12,.250,0,2,.000,0,12,12,7,2,0,4,1,23,14.8,-17,Luka Doncic
2021-11-06,22-251,DAL,HOME,BOS,W (+3),1,35:04,12,21,.571,5,10,.500,4,4,1.000,1,8,9,5,0,1,6,4,33,22.8,+10,Luka Doncic
2021-11-08,22-253,DAL,HOME,NOP,W (+16),1,33:16,10,21,.476,2,5,.400,3,5,.600,2,3,5,5,1,1,5,3,25,14.8,-2,Luka Doncic
2021-11-10,22-255,DAL,AWAY,CHI,L (-10),1,33:25,6,18,.333,1,6,.167,7,10,.700,1,7,8,10,4,1,4,0,20,19.1,-20,Luka Doncic
2021-11-12,22-257,DAL,AWAY,SAS,W (+14),1,36:26,11,23,.478,6,13,.462,4,8,.500,0,12,12,15,2,0,2,2,32,32.0,+6,Luka Doncic
2021-11-15,22-260,DAL,HOME,DEN,W (+10),1,37:33,9,23,.391,2,7,.286,3,5,.600,1,7,8,11,2,1,4,3,23,17.7,+4,Luka Doncic
