DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2019-10-23,23-173,IND,HOME,DET,L (-9),1,35:42,11,15,.733,0,1,.000,5,5,1.000,5,8,13,2,0,0,2,5,27,24.2,+3,Domantas Sabonis
2019-10-26,23-176,IND,AWAY,CLE,L (-11),1,32:50,6,13,.462,0,0,,2,2,1.000,0,5,5,2,2,0,5,5,14,5.2,-17,Domantas Sabonis
2019-10-28,23-178,IND,AWAY,DET,L (-2),1,38:43,8,18,.444,1,2,.500,4,5,.800,4,10,14,1,0,0,1,2,21,15.9,+7,Domantas Sabonis
2019-10-30,23-180,IND,AWAY,BRK,W (+10),1,36:21,11,18,.611,2,4,.500,5,6,.833,3,5,8,4,1,1,3,4,29,23.9,+26,Domantas Sabonis
2019-11-01,23-182,IND,HOME,CLE,W (+7),1,37:17,9,15,.600,0,0,,0,0,,3,14,17,4,0,2,2,4,18,18.0,0,Domantas Sabonis
2019-11-03,23-184,IND,HOME,CHI,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Domantas Sabonis
2019-11-05,23-186,IND,AWAY,CHO,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Domantas Sabonis
2019-11-06,23-187,IND,HOME,WAS,W (+15),1,27:59,4,11,.364,0,0,,5,6,.833,4,13,17,7,2,1,4,6,13,14.4,+24,Domantas Sabonis
2019-11-08,23-189,IND,HOME,DET,W (+6),1,38:42,6,14,.429,0,2,.000,5,6,.833,4,10,14,6,0,1,1,4,17,17.3,+6,Domantas Sabonis
2019-11-10,23-191,IND,AWAY,ORL,W (+7),1,37:32,9,18,.500,0,2,.000,3,4,.750,3,13,16,7,1,1,2,2,21,21.4,+5,Domantas Sabonis
2019-11-12,23-193,IND,HOME,OKC,W (+26),1,29:13,9,19,.474,0,0,,0,0,,7,9,16,2,0,1,2,3,18,14.8,+27,Domantas Sabonis
2019-11-15,23-196,IND,AWAY,HOU,L (-9),1,35:58,6,12,.500,0,0,,6,8,.750,3,10,13,3,0,0,4,4,18,12.8,-18,Domantas Sabonis
2019-11-16,23-197,IND,HOME,MIL,L (-19),1,29:54,3,13,.231,2,3,.667,3,4,.750,6,8,14,2,1,0,3,2,11,7.9,-17,Domantas Sabonis
2019-11-18,23-199,IND,AWAY,BRK,W (+29),1,29:00,7,16,.438,0,2,.000,2,2,1.000,5,13,18,3,0,2,2,4,16,14.9,+16,Domantas Sabonis
2019-11-23,23-204,IND,HOME,ORL,W (+5),1,35:01,9,15,.600,0,0,,7,7,1.000,3,6,9,4,0,0,5,4,25,18.2,-2,Domantas Sabonis
2019-11-25,23-206,IND,HOME,MEM,W (+12),1,33:00,5,8,.625,0,1,.000,3,6,.500,3,10,13,6,2,0,1,1,13,18.1,+9,Domantas Sabonis
2019-11-27,23-208,IND,HOME,UTA,W (+19),1,32:54,9,15,.600,0,2,.000,5,6,.833,4,8,12,1,1,0,2,3,23,19.4,+18,Domantas Sabonis
2019-11-29,23-210,IND,HOME,ATL,W (+1),1,41:54,6,10,.600,0,0,,5,8,.625,4,7,11,2,2,0,2,2,17,16.7,+4,Domantas Sabonis
2019-11-30,23-211,IND,AWAY,PHI,L (-3),1,32:19,4,7,.571,0,1,.000,5,6,.833,1,9,10,5,0,0,5,6,13,8.8,-12,Domantas Sabonis
2019-12-02,23-213,IND,AWAY,MEM,W (+13),1,29:50,9,18,.500,0,1,.000,0,0,,4,10,14,8,0,0,3,6,18,15.0,+13,Domantas Sabonis
2019-12-04,23-215,IND,AWAY,OKC,W (+7),1,35:20,7,13,.538,0,2,.000,3,4,.750,5,8,13,2,2,0,4,5,17,13.6,+2,Domantas Sabonis
2019-12-06,23-217,IND,AWAY,DET,L (-7),1,34:16,7,17,.412,0,1,.000,4,6,.667,2,11,13,5,1,1,2,5,18,14.0,+5,Domantas Sabonis
2019-12-07,23-218,IND,AWAY,NYK,W (+1),1,38:21,8,11,.727,0,0,,3,5,.600,2,13,15,2,1,2,5,3,19,16.6,-2,Domantas Sabonis
2019-12-09,23-220,IND,HOME,LAC,L (-11),1,35:50,7,18,.389,0,2,.000,4,6,.667,4,18,22,4,1,1,1,2,18,18.3,+14,Domantas Sabonis
2019-12-11,23-222,IND,HOME,BOS,W (+5),1,34:50,5,11,.455,0,0,,5,6,.833,2,12,14,8,2,0,2,4,15,17.9,+21,Domantas Sabonis
