DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2019-10-22,28-115,LAC,HOME,LAL,W (+10),1,31:33,10,19,.526,1,5,.200,9,10,.900,1,5,6,5,2,1,6,5,30,20.7,+5,Kawhi Leonard
2019-10-24,28-117,LAC,AWAY,GSW,W (+19),1,21:26,9,17,.529,1,3,.333,2,4,.500,0,5,5,9,0,0,1,0,21,18.7,+27,Kawhi Leonard
2019-10-26,28-119,LAC,AWAY,PHO,L (-8),1,32:16,11,23,.478,3,6,.500,2,3,.667,1,7,8,10,3,1,3,5,27,23.4,-11,Kawhi Leonard
2019-10-28,28-121,LAC,HOME,CHO,W (+15),1,29:44,10,18,.556,2,5,.400,8,8,1.000,0,7,7,6,2,3,2,1,30,29.4,+21,Kawhi Leonard
2019-10-30,28-123,LAC,AWAY,UTA,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kawhi Leonard
2019-10-31,28-124,LAC,HOME,SAS,W (+6),1,34:07,15,32,.469,2,4,.500,6,6,1.000,5,7,12,1,4,0,4,3,38,26.7,+12,Kawhi Leonard
2019-11-03,28-127,LAC,HOME,UTA,W (+11),1,33:45,9,26,.346,2,8,.250,10,12,.833,2,4,6,3,3,1,2,2,30,20.2,+16,Kawhi Leonard
2019-11-06,28-130,LAC,HOME,MIL,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kawhi Leonard
2019-11-07,28-131,LAC,HOME,POR,W (+6),1,33:23,9,23,.391,0,5,.000,9,10,.900,1,12,13,4,1,2,6,2,27,16.8,+8,Kawhi Leonard
2019-11-11,28-135,LAC,HOME,TOR,W (+10),1,34:58,2,11,.182,0,4,.000,8,9,.889,2,9,11,9,3,0,9,3,12,7.9,+12,Kawhi Leonard
2019-11-13,28-137,LAC,AWAY,HOU,L (-9),1,40:56,10,24,.417,3,9,.333,3,5,.600,0,12,12,7,1,1,4,1,26,18.2,-7,Kawhi Leonard
2019-11-14,28-138,LAC,AWAY,NOP,L (-5),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Kawhi Leonard
2019-11-16,28-140,LAC,HOME,ATL,W (+49),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kawhi Leonard
2019-11-18,28-142,LAC,HOME,OKC,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Kawhi Leonard
2019-11-20,28-144,LAC,HOME,BOS,W (+3),1,37:37,7,20,.350,3,10,.300,0,0,,0,6,6,3,3,2,5,2,17,8.3,-2,Kawhi Leonard
2019-11-22,28-146,LAC,HOME,HOU,W (+3),1,28:01,9,16,.563,2,5,.400,4,7,.571,0,6,6,3,3,0,2,5,24,18.1,+11,Kawhi Leonard
2019-11-24,28-148,LAC,HOME,NOP,W (+25),1,27:51,7,19,.368,2,6,.333,10,12,.833,1,3,4,6,0,0,1,1,26,19.1,-3,Kawhi Leonard
2019-11-26,28-150,LAC,AWAY,DAL,W (+15),1,28:28,11,21,.524,1,2,.500,5,5,1.000,1,7,8,4,1,0,2,1,28,21.9,+11,Kawhi Leonard
2019-11-27,28-151,LAC,AWAY,MEM,W (+2),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Kawhi Leonard
2019-11-29,28-153,LAC,AWAY,SAS,L (-10),1,30:30,8,23,.348,0,1,.000,3,3,1.000,1,6,7,7,2,1,3,0,19,13.2,+5,Kawhi Leonard
