DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2019-10-23,32-012,UTA,HOME,OKC,W (+5),1,26:43,1,16,.063,0,6,.000,3,4,.750,0,0,0,5,1,0,2,5,5,-5.7,+1,Mike Conley
2019-10-25,32-014,UTA,AWAY,LAL,L (-9),1,31:15,3,11,.273,1,5,.200,6,6,1.000,1,3,4,3,0,0,4,1,13,5.8,-14,Mike Conley
2019-10-26,32-015,UTA,HOME,SAC,W (+32),1,24:12,5,11,.455,2,6,.333,0,0,,0,3,3,8,0,0,2,1,12,10.4,+26,Mike Conley
2019-10-28,32-017,UTA,AWAY,PHO,W (+1),1,20:10,0,7,.000,0,3,.000,1,2,.500,0,2,2,1,0,1,3,5,1,-7.3,-3,Mike Conley
2019-10-30,32-019,UTA,HOME,LAC,W (+14),1,32:00,11,17,.647,5,8,.625,2,2,1.000,0,1,1,5,2,0,2,3,29,24.1,+1,Mike Conley
2019-11-01,32-021,UTA,AWAY,SAC,L (-1),1,33:05,5,13,.385,3,9,.333,6,8,.750,1,3,4,4,4,0,4,2,19,14.7,-5,Mike Conley
2019-11-03,32-023,UTA,AWAY,LAC,L (-11),1,35:21,2,10,.200,0,2,.000,4,5,.800,0,1,1,1,0,0,5,3,8,-3.8,+3,Mike Conley
2019-11-06,32-026,UTA,HOME,PHI,W (+2),1,34:16,6,15,.400,1,3,.333,2,3,.667,2,4,6,2,2,1,4,0,15,9.2,+19,Mike Conley
2019-11-08,32-028,UTA,HOME,MIL,W (+3),1,31:42,7,15,.467,5,9,.556,1,2,.500,1,2,3,3,0,0,2,4,20,11.7,-1,Mike Conley
2019-11-11,32-031,UTA,AWAY,GSW,W (+14),1,31:13,6,11,.545,5,8,.625,5,5,1.000,1,0,1,7,0,0,0,1,22,21.9,+15,Mike Conley
